Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
25564,2.10562,2.10562,2.10562,1.36225,0.00000,0.87731,26.6355,1,2,0.29,0.00,0.00
25700,2.10575,2.10575,2.10575,1.36238,0.00000,0.87734,26.6355,1,2,0.29,0.00,0.00
25824,2.10575,2.10575,2.10575,1.36238,0.00000,0.87734,26.6355,1,2,0.29,0.00,0.00
25967,2.10587,2.10587,2.10587,1.36238,0.00000,0.87736,26.6355,1,2,0.29,0.00,0.00
26110,2.10587,2.10587,2.10587,1.36225,0.00000,0.87736,26.6355,1,2,0.29,0.00,0.00
26253,2.10612,2.10612,2.10612,1.36225,0.00000,0.87741,26.6355,1,2,0.29,0.00,0.00
26395,2.10612,2.10612,2.10612,1.36238,0.00000,0.87741,26.6367,1,2,0.29,0.00,0.00
26538,2.10612,2.10612,2.10612,1.36225,0.00000,0.87741,26.6367,1,2,0.29,0.00,0.00
26681,2.10625,2.10625,2.10625,1.36238,0.00000,0.87744,26.6355,1,2,0.29,0.00,0.00
26824,2.10637,2.10637,2.10637,1.36238,0.00000,0.87746,26.6367,1,2,0.29,0.00,0.00
26967,2.10650,2.10650,2.10650,1.36238,0.00000,0.87749,26.6355,1,2,0.29,0.00,0.00
27110,2.10650,2.10650,2.10650,1.36225,0.00000,0.87749,26.6367,1,2,0.29,0.00,0.00
27253,2.10663,2.10663,2.10663,1.36238,0.00000,0.87752,26.6367,1,2,0.29,0.00,0.00
27395,2.10663,2.10663,2.10663,1.36225,0.00000,0.87752,26.6367,1,2,0.29,0.00,0.00
27538,2.10675,2.10675,2.10675,1.36225,0.00000,0.87754,26.6367,1,2,0.29,0.00,0.00
27681,2.10687,2.10687,2.10687,1.36238,0.00000,0.87757,26.6367,1,2,0.29,0.00,0.00
27824,2.10700,2.10700,2.10700,1.36238,0.00000,0.87759,26.6367,1,2,0.29,0.00,0.00
27967,2.10700,2.10700,2.10700,1.36238,0.00000,0.87759,26.6355,1,2,0.29,0.00,0.00
28110,2.10712,2.10712,2.10712,1.36238,0.00000,0.87762,26.6355,1,2,0.29,0.00,0.00
28253,2.10725,2.10725,2.10725,1.36225,0.00000,0.87765,26.6367,1,2,0.29,0.00,0.00
28395,2.10712,2.10712,2.10712,1.36238,0.00000,0.87762,26.6367,1,2,0.29,0.00,0.00
28538,2.10725,2.10725,2.10725,1.36225,0.00000,0.87765,26.6367,1,2,0.29,0.00,0.00
28681,2.10725,2.10725,2.10725,1.36238,0.00000,0.87765,26.6367,1,2,0.29,0.00,0.00
28824,2.10738,2.10738,2.10738,1.36225,0.00000,0.87767,26.6367,1,2,0.29,0.00,0.00
28967,2.10750,2.10750,2.10750,1.36225,0.00000,0.87770,26.6367,1,2,0.29,0.00,0.00
29110,2.10750,2.10750,2.10750,1.36225,0.00000,0.87770,26.6367,1,2,0.29,0.00,0.00
29253,2.10750,2.10750,2.10750,1.36238,0.00000,0.87770,26.6367,1,2,0.29,0.00,0.00
29395,2.10775,2.10775,2.10775,1.36225,0.00000,0.87775,26.6367,1,2,0.29,0.00,0.00
29538,2.10775,2.10775,2.10775,1.36225,0.00000,0.87775,26.6367,1,2,0.29,0.00,0.00
29681,2.10775,2.10775,2.10775,1.36238,0.00000,0.87775,26.6367,1,2,0.29,0.00,0.00
29824,2.10787,2.10787,2.10787,1.36238,0.00000,0.87777,26.6367,1,2,0.29,0.00,0.00
29967,2.10800,2.10800,2.10800,1.36238,0.00000,0.87780,26.6367,1,2,0.29,0.00,0.00
30110,2.10800,2.10800,2.10800,1.36225,0.00000,0.87780,26.6367,1,2,0.29,0.00,0.00
30253,2.10800,2.10800,2.10800,1.36238,0.00000,0.87780,26.6367,1,2,0.29,0.00,0.00
30395,2.10813,2.10813,2.10813,1.36225,0.00000,0.87783,26.6367,1,2,0.29,0.00,0.00
30538,2.10813,2.10813,2.10813,1.36225,0.00000,0.87783,26.6367,1,2,0.29,0.00,0.00
30681,2.10825,2.10825,2.10825,1.36225,0.00000,0.87785,26.6367,1,2,0.29,0.00,0.00
30824,2.10825,2.10825,2.10825,1.36238,0.00000,0.87785,26.6367,1,2,0.29,0.00,0.00
30967,2.10825,2.10825,2.10825,1.36225,0.00000,0.87785,26.6378,1,2,0.29,0.00,0.00
31110,2.10850,2.10850,2.10850,1.36225,0.00000,0.87790,26.6378,1,2,0.29,0.00,0.00
31253,2.10850,2.10850,2.10850,1.36225,0.00000,0.87790,26.6378,1,2,0.29,0.00,0.00
31395,2.10850,2.10850,2.10850,1.36225,0.00000,0.87790,26.6367,1,2,0.29,0.00,0.00
31538,2.10862,2.10862,2.10862,1.36238,0.00000,0.87793,26.6378,1,2,0.29,0.00,0.00
31681,2.10862,2.10862,2.10862,1.36225,0.00000,0.87793,26.6378,1,2,0.29,0.00,0.00
31824,2.10875,2.10875,2.10875,1.36225,0.00000,0.87795,26.6378,1,2,0.29,0.00,0.00
31967,2.10887,2.10887,2.10887,1.36225,0.00000,0.87798,26.6367,1,2,0.29,0.00,0.00
32110,2.10900,2.10900,2.10900,1.36238,0.00000,0.87801,26.6367,1,2,0.29,0.00,0.00
32253,2.10900,2.10900,2.10900,1.36238,0.00000,0.87801,26.6378,1,2,0.29,0.00,0.00
32395,2.10912,2.10912,2.10912,1.36225,0.00000,0.87803,26.6378,1,2,0.29,0.00,0.00
32538,2.10912,2.10912,2.10912,1.36238,0.00000,0.87803,26.6378,1,2,0.29,0.00,0.00
32681,2.10925,2.10925,2.10925,1.36225,0.00000,0.87806,26.6378,1,2,0.29,0.00,0.00
