# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2201468,0,,,2.7522,,,,,1
2201618,0,,,,,-0.0407,,,1
2201769,0,,,,,,,0.4779,1
2201920,0,,,,,,0.0435,,1
2202071,0,,,,25.7135,,,,1
2202199,0,0.6777,,,,,,,1
2202327,0,,,2.7525,,,,,1
2202455,0,0.6777,,,,,,,1
2202605,0,,,,,-0.0407,,,1
2202756,0,,,,,,,0.4777,1
2202907,0,,,,,,0.0435,,1
2203058,0,,,,25.7135,,,,1
2203186,0,,,2.7529,,,,,1
2203314,0,0.6777,,,,,,,1
2203442,0,,,2.7529,,,,,1
2203592,0,,,,,-0.0407,,,1
2203743,0,,,,,,,0.4777,1
2203894,0,,,,,,0.0435,,1
2204045,0,,,,25.7135,,,,1
2204173,0,0.6777,,,,,,,1
2204301,0,,,2.7531,,,,,1
2204429,0,0.6777,,,,,,,1
2204557,0,,,2.7530,,,,,1
2204707,0,,,,,-0.0407,,,1
2204858,0,,,,,,,0.4777,1
2205009,0,,,,,,0.0435,,1
2205160,0,,,,25.7135,,,,1
2205288,0,0.6777,,,,,,,1
2205416,0,,,2.7534,,,,,1
2205544,0,0.6777,,,,,,,1
2205694,0,,,,,-0.0407,,,1
2205845,0,,,,,,,0.4777,1
2205996,0,,,,,,0.0435,,1
2206147,0,,,,25.7135,,,,1
2206275,0,,,2.7536,,,,,1
2206403,0,0.6777,,,,,,,1
2206531,0,,,2.7535,,,,,1
2206681,0,,,,,-0.0407,,,1
2206832,0,,,,,,,0.4786,1
2206983,0,,,,,,0.0435,,1
2207134,0,,,,25.7135,,,,1
2207262,0,0.6777,,,,,,,1
2207390,0,,,2.7538,,,,,1
2207518,0,0.6777,,,,,,,1
2207668,0,,,,,-0.0407,,,1
2207819,0,,,,,,,0.4777,1
2207970,0,,,,,,0.0435,,1
2208121,0,,,,25.7135,,,,1
2208249,0,,,2.7542,,,,,1
2208377,0,0.6777,,,,,,,1
2208505,0,,,2.7541,,,,,1
2208655,0,,,,,-0.0407,,,1
2208806,0,,,,,,,0.4777,1
2208957,0,,,,,,0.0435,,1
2209108,0,,,,25.7135,,,,1
2209236,0,0.6777,,,,,,,1
2209364,0,,,2.7542,,,,,1
2209492,0,0.6777,,,,,,,1
2209642,0,,,,,-0.0400,,,1
2209793,0,,,,,,,0.4777,1
2209944,0,,,,,,0.0435,,1
2210095,0,,,,25.7135,,,,1
2210223,0,,,2.7547,,,,,1
2210351,0,0.6777,,,,,,,1
2210479,0,,,2.7547,,,,,1
2210629,0,,,,,-0.0407,,,1
2210780,0,,,,,,,0.4777,1
2210931,0,,,,,,0.0435,,1
2211082,0,,,,25.7135,,,,1
2211210,0,0.6777,,,,,,,1
2211338,0,,,2.7550,,,,,1
2211466,0,0.6777,,,,,,,1
2211616,0,,,,,-0.0407,,,1
2211767,0,,,,,,,0.4777,1
2211918,0,,,,,,0.0435,,1
2212069,0,,,,25.7135,,,,1
2212197,0,,,2.7551,,,,,1
2212325,0,0.6777,,,,,,,1
2212453,0,,,2.7550,,,,,1
2212603,0,,,,,-0.0407,,,1
2212754,0,,,,,,,0.4777,1
2212905,0,,,,,,0.0435,,1
2213056,0,,,,25.7135,,,,1
2213184,0,0.6777,,,,,,,1
2213312,0,,,2.7553,,,,,1
2213440,0,0.6777,,,,,,,1
2213590,0,,,,,-0.0407,,,1
2213741,0,,,,,,,0.4777,1
2213892,0,,,,,,0.0435,,1
2214043,0,,,,25.7135,,,,1
2214171,0,,,2.7556,,,,,1
2214299,0,0.6777,,,,,,,1
2214427,0,,,2.7555,,,,,1
2214555,0,0.6777,,,,,,,1
2214705,0,,,,,-0.0407,,,1
2214856,0,,,,,,,0.4777,1
2215007,0,,,,,,0.0435,,1
2215158,0,,,,25.7135,,,,1
2215286,0,,,2.7559,,,,,1
2215414,0,0.6777,,,,,,,1
2215542,0,,,2.7556,,,,,1
2215692,0,,,,,-0.0407,,,1
2215843,0,,,,,,,0.4777,1
2215994,0,,,,,,0.0435,,1
2216145,0,,,,25.7135,,,,1
2216273,0,0.6777,,,,,,,1
2216401,0,,,2.7557,,,,,1
2216529,0,0.6777,,,,,,,1
2216679,0,,,,,-0.0407,,,1
2216830,0,,,,,,,0.4777,1
2216981,0,,,,,,0.0435,,1
2217132,0,,,,25.7135,,,,1
2217260,0,,,2.7560,,,,,1
2217388,0,0.6777,,,,,,,1
2217516,0,,,2.7560,,,,,1
2217666,0,,,,,-0.0407,,,1
2217817,0,,,,,,,0.4779,1
2217968,0,,,,,,0.0435,,1
2218119,0,,,,25.7135,,,,1
2218247,0,0.6777,,,,,,,1
2218375,0,,,2.7560,,,,,1
2218503,0,0.6777,,,,,,,1
2218653,0,,,,,-0.0407,,,1
2218804,0,,,,,,,0.4777,1
2218955,0,,,,,,0.0435,,1
2219106,0,,,,25.7135,,,,1
2219234,0,,,2.7562,,,,,1
2219362,0,0.6777,,,,,,,1
2219490,0,,,2.7560,,,,,1
2219640,0,,,,,-0.0407,,,1
2219791,0,,,,,,,0.4777,1
2219942,0,,,,,,0.0435,,1
2220093,0,,,,25.7135,,,,1
2220221,0,0.6777,,,,,,,1
2220349,0,,,2.7564,,,,,1
2220477,0,0.6777,,,,,,,1
2220627,0,,,,,-0.0407,,,1
2220778,0,,,,,,,0.4777,1
2220929,0,,,,,,0.0435,,1
2221080,0,,,,25.7135,,,,1
2221208,0,,,2.7565,,,,,1
2221336,0,0.6777,,,,,,,1
2221464,0,,,2.7564,,,,,1
2221614,0,,,,,-0.0407,,,1
2221765,0,,,,,,,0.4777,1
2221916,0,,,,,,0.0435,,1
2222067,0,,,,25.7135,,,,1
2222195,0,0.6777,,,,,,,1
2222323,0,,,2.7565,,,,,1
2222451,0,0.6777,,,,,,,1
2222601,0,,,,,-0.0407,,,1
2222752,0,,,,,,,0.4777,1
2222903,0,,,,,,0.0435,,1
2223054,0,,,,25.7135,,,,1
2223182,0,,,2.7569,,,,,1
2223310,0,0.6777,,,,,,,1
2223438,0,,,2.7570,,,,,1
2223588,0,,,,,-0.0409,,,1
2223739,0,,,,,,,0.4777,1
2223890,0,,,,,,0.0435,,1
2224041,0,,,,25.7135,,,,1
2224169,0,0.6777,,,,,,,1
2224297,0,,,2.7569,,,,,1
2224425,0,0.6777,,,,,,,1
2224553,0,,,2.7570,,,,,1
2224703,0,,,,,-0.0407,,,1
2224854,0,,,,,,,0.4777,1
2225005,0,,,,,,0.0435,,1
2225156,0,,,,25.7135,,,,1
2225284,0,0.6777,,,,,,,1
2225412,0,,,2.7570,,,,,1
2225540,0,0.6777,,,,,,,1
2225690,0,,,,,-0.0407,,,1
2225841,0,,,,,,,0.4777,1
2225992,0,,,,,,0.0435,,1
2226143,0,,,,25.7135,,,,1
2226271,0,,,2.7574,,,,,1
2226399,0,0.6777,,,,,,,1
2226527,0,,,2.7571,,,,,1
2226677,0,,,,,-0.0409,,,1
2226828,0,,,,,,,0.4777,1
2226979,0,,,,,,0.0435,,1
2227130,0,,,,25.7165,,,,1
2227258,0,0.6777,,,,,,,1
2227386,0,,,2.7572,,,,,1
2227514,0,0.6777,,,,,,,1
2227664,0,,,,,-0.0407,,,1
2227815,0,,,,,,,0.4777,1
2227966,0,,,,,,0.0435,,1
2228117,0,,,,25.7135,,,,1
2228245,0,,,2.7574,,,,,1
2228373,0,0.6777,,,,,,,1
2228501,0,,,2.7571,,,,,1
2228651,0,,,,,-0.0407,,,1
2228802,0,,,,,,,0.4777,1
2228953,0,,,,,,0.0435,,1
2229104,0,,,,25.7135,,,,1
2229232,0,0.6777,,,,,,,1
2229360,0,,,2.7574,,,,,1
2229488,0,0.6777,,,,,,,1
2229638,0,,,,,-0.0407,,,1
2229789,0,,,,,,,0.4777,1
2229940,0,,,,,,0.0433,,1
2230091,0,,,,25.7135,,,,1
2230219,0,,,2.7575,,,,,1
2230347,0,0.6777,,,,,,,1
2230475,0,,,2.7574,,,,,1
2230625,0,,,,,-0.0407,,,1
2230776,0,,,,,,,0.4777,1
2230927,0,,,,,,0.0435,,1
2231078,0,,,,25.7165,,,,1
2231206,0,0.6777,,,,,,,1
2231334,0,,,2.7574,,,,,1
2231462,0,0.6777,,,,,,,1
2231612,0,,,,,-0.0407,,,1
2231763,0,,,,,,,0.4777,1
2231914,0,,,,,,0.0435,,1
2232065,0,,,,25.7135,,,,1
2232193,0,,,2.7575,,,,,1
2232321,0,0.6777,,,,,,,1
2232449,0,,,2.7572,,,,,1
2232599,0,,,,,-0.0407,,,1
2232750,0,,,,,,,0.4777,1
2232901,0,,,,,,0.0435,,1
2233052,0,,,,25.7135,,,,1
2233180,0,0.6777,,,,,,,1
2233308,0,,,2.7575,,,,,1
2233436,0,0.6777,,,,,,,1
2233586,0,,,,,-0.0407,,,1
2233737,0,,,,,,,0.4777,1
2233888,0,,,,,,0.0435,,1
2234039,0,,,,25.7135,,,,1
2234167,0,,,2.7576,,,,,1
2234295,0,0.6777,,,,,,,1
2234423,0,,,2.7576,,,,,1
2234551,0,0.6777,,,,,,,1
2234701,0,,,,,-0.0407,,,1
2234852,0,,,,,,,0.4777,1
2235003,0,,,,,,0.0433,,1
2235154,0,,,,25.7135,,,,1
2235282,0,,,2.7574,,,,,1
2235410,0,0.6777,,,,,,,1
2235538,0,,,2.7572,,,,,1
2235688,0,,,,,-0.0407,,,1
